C,gamma,tol,score,generalization_score,max,min
44.30375245218264,0.000519026301769,0.002576638574613,0.9274725274725275,0.9210526315789473,0,0
43.11710058685489,0.000265249637675,0.003833332156156,0.9362637362637363,0.9298245614035088,0,0
20.547625125911335,0.000779422611516,0.071556821617548,0.9230769230769231,0.9122807017543859,0,0
14.135935551752295,0.000619049016677,0.001304907355036,0.9362637362637363,0.9035087719298246,0,0
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,0.9186813186813187,0.9035087719298246,0,1
87.6,0.0002,0.01234,0.9362637362637363,0.9210526315789473,0,0
349.0,0.0001,0.00789,0.9296703296703297,0.9035087719298246,0,0
522.0,0.0001,0.00456,0.9362637362637363,0.9122807017543859,0,0
334.0,0.0001,0.00678,0.9296703296703297,0.9035087719298246,0,0
222.0,0.0009,0.00987,0.9186813186813187,0.9035087719298246,0,0
166.0,0.0006,0.05123,0.9318681318681319,0.9122807017543859,0,0
274.0,0.0004,0.02987,0.9340659340659341,0.9385964912280702,0,0
73.0,0.0007,0.00456,0.9274725274725275,0.9035087719298246,0,0
560.0,0.0009,0.01324,0.9186813186813187,0.9035087719298246,0,0
164.0,0.0005,0.00789,0.9274725274725275,0.9298245614035088,0,0
203.0,0.0008,0.04025,0.9208791208791209,0.9122807017543859,0,0
417.0,0.0002,0.01429,0.9296703296703297,0.9210526315789473,0,0
498.5,0.0006,0.01112,0.9318681318681319,0.9122807017543859,0,0
128.0,0.0007,0.00123,0.9274725274725275,0.9035087719298246,0,0
157.0,0.0004,0.01786,0.9340659340659341,0.9385964912280702,0,0
24.667,0.0002,0.00543,0.9406593406593406,0.9210526315789473,0,0
234.0,0.0002,0.00678,0.9296703296703297,0.9210526315789473,0,0
24.5,0.0001,1e-05,0.945054945054945,0.9385964912280702,1,0
13.646,0.0001,1e-05,0.9384615384615385,0.9473684210526315,0,0
30.084,0.0001,1e-05,0.9428571428571428,0.9385964912280702,0,0
15.2,0.0001,1e-05,0.9384615384615385,0.9385964912280702,0,0
34.678,0.0001,1e-05,0.9384615384615385,0.9385964912280702,0,0
18.745,0.0001,1e-05,0.9428571428571428,0.9473684210526315,0,0
30.5,0.0001,1e-05,0.9428571428571428,0.9385964912280702,0,0
22.0,0.0001,1e-05,0.9406593406593406,0.9385964912280702,0,0
