C,gamma,tol,score,generalization_score,max,min
44.30375245218264,0.000519026301769,0.002576638574613,0.9274725274725275,0.9210526315789473,0,0
43.11710058685489,0.000265249637675,0.003833332156156,0.9362637362637363,0.9298245614035088,0,0
20.547625125911335,0.000779422611516,0.071556821617548,0.9230769230769231,0.9122807017543859,0,0
14.135935551752295,0.000619049016677,0.001304907355036,0.9362637362637363,0.9035087719298246,0,0
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,0.9186813186813187,0.9035087719298246,0,1
95.2,0.0002,0.00034,0.9340659340659341,0.9210526315789473,0,0
280.0,0.0001,0.00122,0.9340659340659341,0.9035087719298246,0,0
696.0,0.0001,0.00123,0.9362637362637363,0.9122807017543859,0,0
999.0,0.0001,1e-05,0.9318681318681319,0.9122807017543859,0,0
431.7,0.0002,0.01535,0.9296703296703297,0.9210526315789473,0,0
143.0,0.0006,0.00631,0.9318681318681319,0.9122807017543859,0,0
112.0,0.0006,0.00289,0.9318681318681319,0.9122807017543859,0,0
237.0,0.0004,0.03827,0.9362637362637363,0.9385964912280702,0,0
624.0,0.0001,3e-05,0.9384615384615385,0.9122807017543859,1,0
724.0,0.0001,1e-05,0.9340659340659341,0.9122807017543859,0,0
204.0,0.0007,0.00142,0.9274725274725275,0.9035087719298246,0,0
585.0,0.0002,0.00018,0.9296703296703297,0.9210526315789473,0,0
176.0,0.0006,0.00684,0.9318681318681319,0.9122807017543859,0,0
167.0,0.0003,2e-05,0.9318681318681319,0.9298245614035088,0,0
488.0,0.0009,0.01497,0.9186813186813187,0.9035087719298246,0,0
236.0,0.0004,1e-05,0.9340659340659341,0.9385964912280702,0,0
186.0,0.0007,0.00561,0.9274725274725275,0.9035087719298246,0,0
997.0,0.0001,1e-05,0.9318681318681319,0.9122807017543859,0,0
552.0,0.0001,1e-05,0.9362637362637363,0.9122807017543859,0,0
624.5,0.0001,1e-05,0.9384615384615385,0.9122807017543859,0,0
558.6,0.0001,1e-05,0.9362637362637363,0.9122807017543859,0,0
366.7,0.0009,0.00035,0.9186813186813187,0.9035087719298246,0,0
550.0,0.0001,0.0001,0.9362637362637363,0.9122807017543859,0,0
556.3,0.0001,1e-05,0.9362637362637363,0.9122807017543859,0,0
1000.0,0.0001,1e-05,0.9318681318681319,0.9122807017543859,0,0
