n_estimators,learning_rate,score,generalization_score,max,min
63,1.6646722614124752,0.9538461538461538,0.9912280701754386,0,0
87,1.722894536960943,0.9670329670329669,0.9736842105263158,0,0
66,0.008354270566129,0.9186813186813186,0.9649122807017544,0,0
37,0.000192116597574,0.8967032967032967,0.9035087719298246,0,1
35,0.024452630570839,0.9274725274725275,0.9736842105263158,0,0
92,0.7321,0.9626373626373625,0.9736842105263158,0,0
58,0.9021,0.9626373626373628,0.9736842105263158,0,0
89,0.7519,0.9648351648351647,0.9736842105263158,0,0
58,0.5897,0.9626373626373625,0.9824561403508771,0,0
80,0.9371,0.9714285714285715,0.9736842105263158,1,0
77,0.5798,0.9626373626373625,0.9649122807017544,0,0
99,0.7346,0.9604395604395604,0.9824561403508771,0,0
86,0.7623,0.9670329670329669,0.9649122807017544,0,0
86,0.7622,0.9670329670329669,0.9649122807017544,0,0
65,0.99,0.9692307692307693,0.9649122807017544,0,0
80,0.9369,0.9714285714285715,0.9736842105263158,0,0
80,0.9368,0.9714285714285715,0.9736842105263158,0,0
100,0.9789,0.9670329670329672,0.9736842105263158,0,0
75,0.9536,0.9648351648351647,0.9649122807017544,0,0
79,0.9788,0.9670329670329672,0.9824561403508771,0,0
97,0.8189,0.956043956043956,0.956140350877193,0,0
84,0.9789,0.9670329670329672,0.9649122807017544,0,0
96,0.875,0.9670329670329669,0.9736842105263158,0,0
80,0.937,0.9714285714285715,0.9736842105263158,0,0
82,0.9714,0.9714285714285715,0.9649122807017544,0,0
80,0.9372,0.9714285714285715,0.9736842105263158,0,0
79,0.975,0.9626373626373628,0.9824561403508771,0,0
80,0.9789,0.9670329670329672,0.956140350877193,0,0
84,0.983,0.9670329670329669,0.9649122807017544,0,0
73,0.9999,0.9582417582417582,0.9649122807017544,0,0
