n_estimators,learning_rate,score,generalization_score,max,min
63,1.6646722614124752,0.925,0.9666666666666667,0,0
87,1.722894536960943,0.9333333333333332,0.9666666666666667,0,0
66,0.008354270566129,0.925,0.9,0,0
37,0.000192116597574,0.6916666666666667,0.5666666666666667,0,1
35,0.024452630570839,0.9166666666666666,0.9,0,0
93,0.3291,0.9166666666666666,0.9,0,0
76,0.0975,0.9166666666666666,0.9,0,0
93,0.0413,0.9166666666666666,0.9,0,0
76,0.0074,0.925,0.9,0,0
89,0.855,0.9166666666666666,0.9666666666666667,0,0
48,0.3876,0.9166666666666666,0.9,0,0
84,0.6285,0.9166666666666666,0.9,0,0
93,0.0101,0.925,0.9,0,0
100,0.0001,0.6916666666666667,0.5666666666666667,0,0
85,0.0217,0.9166666666666666,0.9,0,0
75,0.0026,0.9333333333333333,0.9666666666666667,0,0
79,0.0031,0.9333333333333333,0.9666666666666667,0,0
91,0.0018,0.95,0.9666666666666667,1,0
90,0.0013,0.95,0.9666666666666667,0,0
52,0.0043,0.9333333333333333,0.9666666666666667,0,0
66,0.0021,0.95,0.9666666666666667,0,0
78,0.0058,0.9333333333333333,0.9,0,0
81,0.0017,0.95,0.9666666666666667,0,0
66,0.0028,0.9333333333333333,0.9666666666666667,0,0
69,0.0014,0.95,0.9666666666666667,0,0
88,0.0012,0.95,0.9666666666666667,0,0
80,0.0009,0.9416666666666668,0.9666666666666667,0,0
96,0.0006,0.95,0.9666666666666667,0,0
48,0.0275,0.925,0.9,0,0
96,0.0011,0.95,0.9666666666666667,0,0
